year,region,gdp_per_capita,energy_consumption,industrial_output,vehicle_count,population,renewable_usage,emissions
2010,Asia,3200,2400,1800,500000,80000000,12,410
2011,Asia,3400,2550,1900,520000,81500000,14,430
2012,Asia,3600,2600,2100,540000,83000000,16,450
2013,Asia,3800,2750,2200,560000,84500000,18,470
2014,Asia,4000,2900,2400,580000,86000000,20,490
2015,Asia,4200,3100,2600,600000,87500000,21,510
2016,Asia,4400,3200,2750,620000,89000000,22,530
2017,Asia,4600,3350,2900,640000,90500000,24,550
2018,Asia,4800,3450,3050,660000,92000000,25,560
2019,Asia,5000,3550,3200,680000,93500000,27,575
2020,Asia,5100,3600,3100,685000,94000000,30,560
2010,Europe,42000,1800,2200,350000,50000000,45,300
2011,Europe,43000,1850,2250,360000,50500000,47,295
2012,Europe,44000,1900,2300,365000,51000000,48,290
2013,Europe,45000,2000,2350,370000,51500000,50,285
2014,Europe,46000,2050,2400,375000,52000000,52,280
2015,Europe,47000,2100,2450,380000,52500000,54,275
2016,Europe,48000,2150,2500,385000,53000000,56,270
2017,Europe,49000,2200,2550,390000,53500000,58,265
2018,Europe,50000,2250,2600,395000,54000000,60,260
2019,Europe,51000,2300,2650,400000,54500000,62,255
2020,Europe,52000,2350,2700,405000,55000000,65,250
2010,North America,48000,3500,4000,700000,32000000,30,500
2011,North America,49000,3600,4200,710000,32500000,32,520
2012,North America,50000,3700,4400,720000,33000000,34,540
2013,North America,51000,3800,4600,730000,33500000,36,560
2014,North America,52000,3900,4800,740000,34000000,38,580
2015,North America,53000,4000,5000,750000,34500000,40,600
2016,North America,54000,4100,5200,760000,35000000,42,620
2017,North America,55000,4200,5400,770000,35500000,44,640
2018,North America,56000,4300,5600,780000,36000000,46,660
2019,North America,57000,4400,5800,790000,36500000,48,680
2020,North America,58000,4500,6000,800000,37000000,50,700
